"","Year","Seas","FltSrv","Gender","Part","Nsamp","4","7","10","13","16","19","22","25","28","31","34","37","40","43","46","49","52","55","58","61","64","67","70","73","76","79","82","85","88","91","94","97","100","103","106","109","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",1996,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000224805726282634,0.000224805726282634,0,0,0,0,0,0.000899222905130536,0.00201168938664782,0.00391675698510226,0.00492260167842618,0.0124131259842588,0.0171916684891279,0.0249185606711391,0.0271264296129258,0.0336599202641486,0.0328733794257552,0.0362884045767104,0.0358263095767251,0.0288100008279655,0.0324413904016298,0.0277634094064101,0.0251378645260698,0.0258699039578516,0.0287031905432266,0.0219327736086335,0.0339847360132029,0.0354758000063037,0.0341269656486079,0.0323802703092824,0.0418169788524474,0.0425605804341249,0.0337751647700161,0.0369290636237088,0.0327361001748245,0.0328210705476277,0.02685426539299,0.0291171941485801,0.0261352679158201,0.0185893138855377,0.018039140923323,0.0129203596897579,0.0160621379863628,0.00882504557795656,0.0090410400900193,0.00636374473874346,0.00660286355059798,0.00582182458355671,0.00369195125881963,0.00414156271138491,0.00325390195615024,0.00291091229177836,0.00291091229177835,0.00336052374434362,0.00157364008397844,0.00292247444167425,0.00212987332473708,0.00178688366036518,0.000899222905130536,0.000674417178847902,0.000899222905130536,0.000781038967041275,0.000674417178847902,0.000449611452565267,0.000449611452565269,0.000674417178847902,0.000556233240758641,0.000224805726282634,0,0.000449611452565269,0,0,0.000224805726282634,0,0,0,0.000224805726282634,0,0,0,0,0,0,0,0
"2",1998,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000646662736375529,0.00100615356407733,0.000169117096674604,0.0011400183588626,0.00250840152410334,0.00263864952631325,0.00751254810983631,0.00764106634609538,0.00798142086628327,0.012589268470278,0.0165038977028344,0.0163038442963496,0.0162953234651165,0.018029583683504,0.020871871081656,0.018786142615276,0.0200464242875068,0.0204944966605891,0.024596609374589,0.0218599014505704,0.0294129357382178,0.0342448559798138,0.0373468977891078,0.0412722780596463,0.0542876579967192,0.0488918312818567,0.0519840811182061,0.0628144098842058,0.062196760049033,0.0587722445767618,0.0537751460557472,0.0496262403740748,0.0354681730919362,0.0266958972423626,0.0252640040003427,0.020464010621652,0.0149388085255894,0.0106244629250934,0.0104675907621182,0.00523257821151597,0.00508937473660179,0.0032473449615813,0.00492226853383538,0.00245005560775702,0.00265271901461356,0.00113552354717348,0.000901166353981075,0.00112420837607645,0.000816607805643773,0.00169679976261807,0.000497692064114063,0.000403474289867012,0.000488032838204314,0.000328574967439459,0.000169117096674603,0.000917303316242961,0.000159457870764856,0.000244016419102158,0.000283713486160493,0.000328574967439459,0.000253675645011905,0.000159457870764856,8.45585483373018e-05,0,0,0.000159457870764856,8.45585483373018e-05,0,0,0,0,0,0,0,0,0,0,0
"3",2000,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244819852238553,0.000428326367868814,0.000244819852238553,0.000244819852238552,0.000335413167294397,0.00125105935412175,0.00155697579587128,0.00185825246658368,0.0026156075823408,0.00496437741338131,0.00681733986763593,0.00931285740937603,0.0126479214998345,0.0143284372517045,0.0133043996309973,0.0113341519791974,0.013866191134351,0.0156490384709036,0.0177987603493024,0.0198778912364556,0.0271940690396616,0.0352341050862318,0.0477397555194902,0.0535798657610007,0.0575173832278319,0.0596848139965524,0.0631631593939411,0.0591246864544072,0.0603832232127234,0.0565674239974027,0.0478078784135488,0.0465030750396694,0.0405899496187945,0.0347626880213286,0.0297738883735678,0.0222056961126577,0.0196253734534669,0.0173420061449332,0.0146817833197282,0.012220796679972,0.00904646348232173,0.00840635096917738,0.0040537995953585,0.00456215906385926,0.00456225158352869,0.00292845319882133,0.00266052104044401,0.00175489031271566,0.000825052871771503,0.00162014504197881,0.0015613683379864,0.000426006482350242,0.000942606279756331,9.05933150558448e-05,0.000422158695560031,0.000426006482350243,0.000303596556230966,0.000271779945167534,0,0,0,9.05933150558448e-05,0.000122409926119276,0,9.05933150558448e-05,0,0.000267932158377324,0,0,9.05933150558448e-05,9.05933150558448e-05,0,0,0,0,0,0,0,0,0,0,0
"4",2002,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161900847961546,0,0.000193888411526301,0.000470361875209197,0.00137582880571119,0.00244319658417474,0.00352721125752759,0.00513218529468148,0.00594299576070309,0.0100974991353568,0.0105947107979893,0.017855238456392,0.0194584384841042,0.0197989782391752,0.0279087882846288,0.0298266297378328,0.0327791714350799,0.0362939142331382,0.0350588788364581,0.0370257075928196,0.0451581380956557,0.0389260345236452,0.0423400739020133,0.0351967980600278,0.0315393306204252,0.0207632680516999,0.0201396217515343,0.0182152306150207,0.0221165403855718,0.0232798708547296,0.0267928548017668,0.0220853793359413,0.0212904344914265,0.02582836484567,0.0252099376035395,0.0282149771004928,0.0225055600803899,0.0266316462550987,0.0189087129550867,0.0201041714218642,0.0232300718923581,0.0219868380202008,0.0187072314797025,0.0196614192313128,0.0159409756183673,0.0138387139711031,0.0115131702383053,0.0103058026438583,0.00870334654878415,0.00831041673280925,0.00493951598065493,0.00408455202839674,0.00260892898206378,0.000841491803372485,0.00131372219837141,0.000323801695923092,0.00149413846101201,0.000161900847961546,0,0,0.000161900847961546,0.000323801695923092,0,0.000161900847961546,0,0,0.000193888411526301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2004,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180143917148862,0,0.000213776434178853,0,0.000787840702655431,0.000720575668595451,0.000393920351327716,0.00123607597844124,0.0018980876884059,0.00249708339848328,0.00458401607946722,0.00322636014250792,0.00695547349234355,0.0127251241376765,0.0138128171811554,0.021109843306548,0.0192660674361525,0.0357987073048497,0.0317415558696614,0.0398297034910084,0.0405715548223448,0.0489778378854201,0.0489127132469092,0.0648985506735426,0.0571134235381509,0.0557198229555518,0.0459973244566928,0.0503305270990813,0.0508836292620783,0.0515163077436096,0.0440987202461099,0.0387764229781153,0.0405906742523676,0.0279930987628242,0.0152017941561779,0.0217110840674695,0.0179890001588556,0.0122898776064252,0.00959317359800739,0.010106296408524,0.00813886914413079,0.00658387014624804,0.0061378093627076,0.00438840756666596,0.00392722218127825,0.00297991996890206,0.00349749482067516,0.00203686679069856,0.00171021147343083,0.000821473219685422,0.00264238908395976,0.00106888217089427,0.00064132930253656,0.00192398790760968,0.000967984619804294,0.000213776434178853,0,0.00064132930253656,0.000427552868357706,0.000393920351327716,0.000213776434178853,0,0,0.000180143917148862,0.000213776434178853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2006,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000141979244973413,0,0.00025388018796458,0,0.000395859432937993,0.00232790415713098,0.00390292962394513,0.00718399738542923,0.00810206244028104,0.0097725465062621,0.0153541695008196,0.0153235623644534,0.0203676763521092,0.01778645312655,0.025208227803083,0.0210715852631939,0.0192507349369837,0.0208258524230228,0.0280423310875366,0.0290870913865715,0.0361996180536588,0.0448244252657384,0.0482745210742234,0.0481451034129138,0.0466824621714588,0.0456787512839115,0.0408618328331914,0.0439546493405666,0.0439750872695207,0.0346074357743794,0.0287301923069076,0.0376694000049787,0.0261047389844017,0.0247278627439389,0.0258138664824594,0.022439704553366,0.0204921371201322,0.0140725824080293,0.016497572546375,0.0130344690623928,0.0135624556400634,0.00950435209937006,0.00891055812273954,0.00876288498461552,0.0074249151758903,0.00607015428099759,0.00540291648458785,0.00531554524707047,0.00591976277108636,0.0026073707485481,0.00271372309503083,0.00393559065551948,0.00269273070361793,0.00249059485468002,0.00167367263769871,0.00209961037261895,0.00112541041240194,0.000395859432937992,0.000791718865875985,0.000425937734920238,0.000623198632981228,0,0,0.000141979244973413,0,0.000111900942991167,0,0,0.000111900942991167,0,0,0,0,0,0,0,0
"7",2008,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000714325517850169,0,0,0,0,0,0,0,0,0.000370813941702759,0.00085514648097964,0.00027608905725308,0.00106103658483546,0.00333216089019844,0.00806872536491311,0.009745423159938,0.01054256630586,0.017216712341905,0.0168648268076998,0.0203639037056792,0.0227506532006467,0.0292746420801992,0.0305919833200268,0.0335787568488873,0.0270024221012891,0.0256616684449678,0.0251607348537953,0.0220503381477933,0.02520054696011,0.032562227795006,0.030599079701959,0.0324723929220525,0.0341498218274661,0.0426887396927824,0.0424468024930628,0.0478421034028838,0.049093511230227,0.0548458956609177,0.0459727872934636,0.0403819024149005,0.0353261961962369,0.026006210993375,0.024001079748052,0.0182620507094407,0.0220382005511188,0.0142083894826837,0.0132150637787044,0.0104219748532666,0.00897571990668746,0.00566234284751999,0.00535818546977241,0.00501515148660237,0.00324595454027314,0.00348226634279144,0.00445355418825952,0.00270454440712833,0.00309322632076582,0.000490497695633276,0.00220079065759256,0.00147149308689983,0.000704906334013472,0.00177813853718856,0.000628542224259816,0.000552178114506158,0.000502693313972904,0,0.00141923185186364,0.00013804452862654,0,0,0,0.000276089057253079,0.00013804452862654,0,0.00013804452862654,0.000352453167006736,0,0,0,0,0,0,0,0,0,0
"8",2010,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000976408890971552,0.000304446394220762,0.00048738565321698,0.00265416863119138,0.00265185249049439,0.00715083853736816,0.0109049000573729,0.0186967338283296,0.0232005225318455,0.0280798267592763,0.0280528399820855,0.0397140938381536,0.0339197622219691,0.0345219615370468,0.0326962946016434,0.0279910471079937,0.0275380878577683,0.0247622941772342,0.0190837989890507,0.0211712913971025,0.0241016921900271,0.0343467071339002,0.0271369586824112,0.038990758348005,0.0378147728529548,0.0390940484392952,0.0449576786515335,0.0485151085381797,0.0408119323010864,0.0365302792758369,0.0401105965197607,0.0350320677355354,0.0336820891903056,0.0264775521554665,0.0185414983562348,0.0181699602561438,0.00941345778299506,0.0129487782110633,0.00687987846135011,0.00933324938739432,0.00584469286538358,0.00728260340725887,0.00319903268294545,0.00251446377173618,0.00173687572329451,0.00221165496205301,0.00164639452510505,0.0020180085933403,0.00100288748725107,0.00144921126711276,0.0010112624099027,0.000739130170765276,0,0.000365199961833036,0.000304446394220762,0.00037393020893224,0,0.000182599980916517,0.000121846413304245,0.000121846413304245,0,0.000182599980916517,0,0.000121846413304245,0,0,0,0.000121846413304245,0,0,0,0,0,0,0,0,0,0,0
"9",2012,7,5,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000111253602553608,0,0.000111253602553608,0.000111253602553608,0,0,0.000253642802563087,0.000895536559981139,0.00114917936254422,0.00244817961888432,0.00175766421434108,0.00644841163276146,0.00505376141387524,0.00568232483945114,0.00637966016849036,0.00897430764593637,0.0117764794903793,0.0101051681382315,0.0193738756648868,0.0172581186187308,0.024433301530637,0.0311403649435608,0.0393444942368239,0.0459761341997821,0.0553521185240479,0.0575709865079125,0.0589212831341602,0.0640974075303381,0.0676816230809045,0.0603178937905701,0.0554119248744933,0.0560327055925026,0.0462475743886015,0.041011739961653,0.0352641423671087,0.030707516618578,0.0310513219028248,0.0228992070836507,0.0197861399181268,0.0137037052642411,0.0103208700810226,0.00844082377768602,0.0051257074727519,0.0033644480665072,0.00365149977469149,0.0027209911153717,0.00418142981510805,0.00108236155130183,0.00139000543790055,0.00102787140410769,0.000553994704602711,0.000165743749747749,0.00102787140410769,0.000331487499495498,0.000333760807660823,0.000111253602553608,0.000111253602553608,0,0.000553994704602714,0.000165743749747749,0.000165743749747749,0,0,0,0.000165743749747749,0.000165743749747749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
